pickle_path,name,speaker,length,audio_path
/home/qmh/Projects/Datasets/TIMIT_M/TIMIT_OUTPUT/test/mthc0_si1015.pickle,si1015.wav,mthc0,3.33,/home/qmh/Projects/Datasets/TIMIT_M/TIMIT/test/dr3/mthc0/si1015.wav
/home/qmh/Projects/Datasets/TIMIT_M/TIMIT_OUTPUT/test/mthc0_sx385.pickle,sx385.wav,mthc0,2.25,/home/qmh/Projects/Datasets/TIMIT_M/TIMIT/test/dr3/mthc0/sx385.wav
/home/qmh/Projects/Datasets/TIMIT_M/TIMIT_OUTPUT/test/mthc0_sx295.pickle,sx295.wav,mthc0,3.03,/home/qmh/Projects/Datasets/TIMIT_M/TIMIT/test/dr3/mthc0/sx295.wav
/home/qmh/Projects/Datasets/TIMIT_M/TIMIT_OUTPUT/test/mthc0_sx25.pickle,sx25.wav,mthc0,2.01,/home/qmh/Projects/Datasets/TIMIT_M/TIMIT/test/dr3/mthc0/sx25.wav
/home/qmh/Projects/Datasets/TIMIT_M/TIMIT_OUTPUT/test/mthc0_sa2.pickle,sa2.wav,mthc0,2.79,/home/qmh/Projects/Datasets/TIMIT_M/TIMIT/test/dr3/mthc0/sa2.wav
/home/qmh/Projects/Datasets/TIMIT_M/TIMIT_OUTPUT/test/mthc0_sx205.pickle,sx205.wav,mthc0,3.48,/home/qmh/Projects/Datasets/TIMIT_M/TIMIT/test/dr3/mthc0/sx205.wav
/home/qmh/Projects/Datasets/TIMIT_M/TIMIT_OUTPUT/test/mthc0_si2275.pickle,si2275.wav,mthc0,2.28,/home/qmh/Projects/Datasets/TIMIT_M/TIMIT/test/dr3/mthc0/si2275.wav
/home/qmh/Projects/Datasets/TIMIT_M/TIMIT_OUTPUT/test/mthc0_sa1.pickle,sa1.wav,mthc0,3.03,/home/qmh/Projects/Datasets/TIMIT_M/TIMIT/test/dr3/mthc0/sa1.wav
/home/qmh/Projects/Datasets/TIMIT_M/TIMIT_OUTPUT/test/mthc0_sx115.pickle,sx115.wav,mthc0,2.82,/home/qmh/Projects/Datasets/TIMIT_M/TIMIT/test/dr3/mthc0/sx115.wav
/home/qmh/Projects/Datasets/TIMIT_M/TIMIT_OUTPUT/test/mthc0_si1645.pickle,si1645.wav,mthc0,2.79,/home/qmh/Projects/Datasets/TIMIT_M/TIMIT/test/dr3/mthc0/si1645.wav
